"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00134647180852243,0.386930597325103,0.251,0.197,1,"0","TECR"
0.00141639132364731,0.285677373907379,0.369,0.312,1,"0","GIMAP1"
0.00145208083219524,0.745076484470111,0.375,0.315,1,"0","SRP9"
0.00168865978851244,0.357319143627957,0.319,0.259,1,"0","FBL"
0.0024924491567728,0.357446646887295,0.268,0.211,1,"0","MRPS21"
0.00312102871369742,0.302200569203331,0.25,0.195,1,"0","FAIM3"
0.00349012100511582,0.468482818723929,0.296,0.24,1,"0","SEPW1"
0.00478231357018055,0.262531617664724,0.375,0.322,1,"0","YPEL5"
0.00480889008587636,0.289205681146108,0.253,0.202,1,"0","MPHOSPH8"
0,6.59729803242329,0.975,0.121,0,"1","S100A8"
0,5.3725279764914,0.899,0.06,0,"1","LGALS2"
0,4.08049556376579,0.951,0.149,0,"1","FCN1"
0,6.12696110639399,0.994,0.215,0,"1","S100A9"
4.80490275207148e-294,5.87876166084668,0.661,0.029,6.58944363419083e-290,"1","CD14"
8.96115308531685e-289,3.26343218165641,0.994,0.264,1.22893253412035e-284,"1","TYROBP"
1.97337045720576e-278,5.2943192450627,0.682,0.042,2.70628024501199e-274,"1","MS4A6A"
2.40837267326545e-272,3.18212981602429,0.992,0.265,3.30284228411623e-268,"1","CST3"
3.63923904010294e-269,4.67591900257558,0.998,0.516,4.99085241959717e-265,"1","LYZ"
1.38493629719418e-238,3.10117596660644,0.912,0.223,1.8993016379721e-234,"1","TYMP"
1.78245296295387e-234,3.15767599428625,0.78,0.105,2.44445599339494e-230,"1","CFD"
2.14721982838627e-234,2.3414367879096,0.959,0.222,2.94469727264893e-230,"1","LST1"
3.68291469831759e-233,2.56834173046283,0.959,0.244,5.05074921727274e-229,"1","AIF1"
1.03782176802801e-232,2.79106802450936,0.979,0.362,1.42326877267361e-228,"1","LGALS1"
4.90027552558573e-219,2.59008323812945,0.922,0.31,6.72023785578827e-215,"1","GPX1"
3.86320645852732e-218,2.64107818578988,1,0.985,5.29800133722437e-214,"1","FTL"
3.75554154644402e-215,2.87828963426756,0.936,0.352,5.15034967679334e-211,"1","GSTP1"
1.54985845500632e-214,3.607076917593,0.747,0.127,2.12547588519566e-210,"1","GRN"
1.67602360802555e-207,2.11775158466815,0.994,0.734,2.29849877604624e-203,"1","S100A6"
1.87380125373298e-203,2.22610222594976,1,0.986,2.56973103936941e-199,"1","FTH1"
2.02363075903828e-197,2.05514577360436,0.936,0.228,2.77520722294509e-193,"1","FCER1G"
2.35230847691411e-187,2.36629112752528,0.94,0.425,3.22595584524001e-183,"1","CTSS"
6.81038517849608e-183,2.93815303245986,0.704,0.113,9.33976223378953e-179,"1","CD68"
1.75500127659446e-181,1.70374863637235,1,0.77,2.40680875072164e-177,"1","S100A4"
2.09313755162706e-179,3.2752480673575,0.686,0.121,2.87052883830135e-175,"1","CEBPD"
1.53830394480493e-173,2.51882887874544,0.875,0.314,2.10963002990548e-169,"1","NPC2"
1.86177545171464e-171,2.96825109012322,0.758,0.194,2.55323885448145e-167,"1","AP1S2"
1.27086967030068e-170,2.07101545344205,0.951,0.431,1.74287066585036e-166,"1","S100A11"
1.27193830800188e-170,3.08100058077396,0.706,0.143,1.74433619559378e-166,"1","LGALS3"
1.91295406259151e-170,1.46905881410421,0.994,0.889,2.623425201438e-166,"1","OAZ1"
9.38786516555915e-170,3.64197062926402,0.542,0.059,1.28745182880478e-165,"1","CDA"
9.83832858848355e-168,2.08252718657803,0.967,0.504,1.34922838262463e-163,"1","SAT1"
2.87209713048009e-167,2.15322189755955,0.916,0.414,3.93879400474039e-163,"1","PSAP"
2.14150052207461e-160,2.97747163705385,0.641,0.112,2.93685381597312e-156,"1","CFP"
5.99495088230164e-158,4.35630176651476,0.46,0.039,8.22147563998847e-154,"1","CSF3R"
1.20625501895832e-157,3.56382867064833,0.577,0.085,1.65425813299945e-153,"1","NCF2"
1.30144543721694e-157,3.68005381514815,0.548,0.075,1.78480227259932e-153,"1","BLVRB"
2.29377515346064e-156,2.50065083187869,0.706,0.142,3.14568324545592e-152,"1","SERPINA1"
1.21804066560318e-155,1.77966086711427,0.967,0.55,1.6704209688082e-151,"1","COTL1"
4.15793520637524e-152,3.71454755149788,0.513,0.062,5.70219234202301e-148,"1","NUP214"
1.15387231393531e-150,5.67230501655953,0.366,0.015,1.58242049133088e-146,"1","ASGR1"
5.11744978073807e-147,2.86015839879404,0.554,0.077,7.01807062930418e-143,"1","IFI30"
1.11954827029514e-145,2.11167406748096,0.867,0.402,1.53534849788276e-141,"1","GABARAP"
3.75676010820986e-145,1.36571960134811,0.99,0.812,5.15202081239901e-141,"1","CYBA"
9.97312777500719e-145,3.81946258261203,0.433,0.038,1.36771474306449e-140,"1","ALDH2"
3.61225383727359e-143,7.37597846211523,0.302,0.004,4.953844912437e-139,"1","FOLR3"
1.3953363373047e-141,3.06446311081581,0.641,0.141,1.91356425297967e-137,"1","FCGRT"
2.30604964030621e-136,4.02228433078777,0.417,0.039,3.16251647671593e-132,"1","FPR1"
1.42711395339141e-135,2.07254148675127,0.799,0.273,1.95714407568098e-131,"1","PYCARD"
3.32812594690616e-135,2.28844458873674,0.772,0.256,4.56419192358711e-131,"1","TKT"
1.01622787146196e-132,2.49974776673067,0.622,0.121,1.39365490292293e-128,"1","SPI1"
3.1888881900917e-129,5.04163546852164,0.316,0.013,4.37324126389176e-125,"1","RBP7"
2.04919481486965e-128,2.07293404828855,0.842,0.346,2.81026576911223e-124,"1","RAC1"
8.81640546748188e-127,2.13012967782965,0.84,0.393,1.20908184581047e-122,"1","TSPO"
5.43311466733163e-125,2.7022851646204,0.583,0.119,7.4509734547786e-121,"1","BRI3"
2.96547983557745e-124,6.78018761529338,0.277,0.006,4.06685904651091e-120,"1","S100A12"
2.97550209166391e-123,3.31939688507386,0.462,0.064,4.08060356850788e-119,"1","SLC7A7"
3.71557377660729e-117,3.36789542214871,0.497,0.087,5.09553787723924e-113,"1","TNFSF13B"
2.01123650825888e-116,3.75554182880927,0.394,0.044,2.75820974742623e-112,"1","IGSF6"
6.76308614331011e-115,3.40389940965003,0.429,0.059,9.27489633693548e-111,"1","MNDA"
1.99281025773984e-114,2.19734370958032,0.608,0.137,2.73293998746441e-110,"1","IFITM3"
3.75467053400089e-114,2.97571730371236,0.52,0.102,5.14915517032882e-110,"1","RNF130"
1.61192256000996e-113,3.83851826784455,0.368,0.036,2.21059059879766e-109,"1","VCAN"
3.20808538543995e-112,4.46679192113929,0.314,0.021,4.39956829759235e-108,"1","BST1"
2.4957353704729e-111,4.42244156079756,0.343,0.031,3.42265148706653e-107,"1","PLBD1"
2.96225112444858e-110,1.32522757123916,0.959,0.818,4.06243119206878e-106,"1","GAPDH"
6.15915634243916e-109,1.88489110352588,0.737,0.283,8.44666700802106e-105,"1","TALDO1"
1.13424726770025e-104,3.32516049295686,0.413,0.06,1.55550670292412e-100,"1","APOBEC3A"
9.84274483070351e-102,1.91943125144387,0.772,0.319,1.34983402608268e-97,"1","IFI6"
7.23712380450271e-99,2.76113226850484,0.526,0.127,9.92499158549502e-95,"1","CTSB"
1.4630595360043e-98,1.46753400744468,0.914,0.576,2.00643984767629e-94,"1","NEAT1"
1.39374887479528e-97,3.43384468540305,0.382,0.056,1.91138720689425e-93,"1","CPVL"
6.00137365798715e-97,2.63231317256625,0.491,0.106,8.23028383456357e-93,"1","CTSH"
1.57564577834571e-96,3.33802890223611,0.39,0.06,2.16084062042331e-92,"1","ODF3B"
1.05916316577926e-93,1.98556980728243,0.696,0.275,1.45253636554968e-89,"1","AP2S1"
2.79234493502473e-91,3.44598044655755,0.355,0.049,3.82942184389292e-87,"1","SMCO4"
1.9919879503088e-88,3.2560372583553,0.353,0.051,2.73181227505349e-84,"1","TGFBI"
3.72301340130355e-88,2.80166511269819,0.38,0.061,5.10574057854769e-84,"1","LILRA5"
2.37172580586303e-86,0.910636499878798,0.973,0.832,3.25258477016055e-82,"1","SH3BGRL3"
5.78478530258936e-86,0.833892997784575,0.94,0.471,7.93325456397105e-82,"1","HLA-DRA"
6.4860316957819e-86,4.1059219655572,0.261,0.021,8.8949438675953e-82,"1","TMEM176B"
